n,timeMs,algorithm
46300,17.909,1
46400,17.4181,1
46500,17.4147,1
46600,20.3986,1
46700,16.753,1
46800,17.3282,1
46900,17.1958,1
47000,18.9482,1
47100,17.4851,1
47200,17.7661,1
47300,19.5286,1
47400,21.4438,1
47500,19.2083,1
47600,18.3195,1
47700,17.8346,1
47800,19.2622,1
47900,18.4861,1
48000,19.8458,1
48100,18.1028,1
48200,17.568,1
48300,18.6187,1
48400,18.572,1
48500,19.529,1
48600,19.666,1
48700,18.6308,1
48800,21.3259,1
48900,18.2595,1
49000,19.9896,1
49100,19.2271,1
49200,21.3576,1
49300,19.2563,1
49400,18.4082,1
49500,18.503,1
49600,19.2849,1
49700,18.7346,1
49800,21.1196,1
49900,19.9643,1
50000,19.4592,1
50100,22.2516,1
50200,18.7977,1
50300,20.915,1
50400,19.2989,1
50500,21.8508,1
50600,21.9369,1
50700,17.9742,1
50800,19.7496,1
50900,20.6815,1
51000,19.149,1
51100,19.0931,1
51200,19.0707,1
51300,19.345,1
51400,18.4546,1
51500,21.0099,1
51600,18.7567,1
51700,22.1628,1
51800,21.2579,1
51900,20.627,1
52000,20.5108,1
52100,20.724,1
52200,19.0577,1
52300,21.624,1
52400,19.243,1
52500,22.4585,1
52600,21.612,1
52700,21.2908,1
52800,22.4026,1
52900,19.3066,1
53000,21.437,1
53100,21.0595,1
53200,20.3717,1
53300,21.0757,1
53400,19.4908,1
53500,21.1819,1
53600,20.8685,1
53700,21.2684,1
53800,22.5057,1
53900,19.1724,1
54000,20.8998,1
54100,21.3006,1
54200,25.1763,1
54300,42.4081,1
54400,24.2226,1
54500,20.0321,1
54600,23.5392,1
54700,20.5314,1
54800,22.0302,1
54900,18.7525,1
55000,24.0841,1
55100,40.1044,1
55200,25.0143,1
55300,23.9224,1
55400,22.3518,1
55500,25.4224,1
55600,22.6491,1
55700,30.6051,1
55800,26.6749,1
55900,34.2239,1
56000,29.2654,1
56100,40.5334,1
56200,29.8342,1
56300,27.9647,1
56400,25.4739,1
56500,27.3589,1
56600,22.8641,1
56700,21.4453,1
56800,22.0983,1
56900,21.5988,1
57000,21.5338,1
57100,22.5581,1
57200,29.6616,1
57300,22.029,1
57400,25.9722,1
57500,23.9465,1
57600,22.8019,1
57700,22.9762,1
57800,23.7838,1
57900,22.727,1
58000,23.6609,1
58100,22.9242,1
58200,22.2117,1
58300,22.9321,1
58400,21.387,1
58500,25.0396,1
58600,35.0079,1
58700,29.2011,1
58800,39.1394,1
58900,36.0966,1
59000,31.3564,1
59100,29.7057,1
59200,30.8425,1
59300,25.0926,1
59400,24.2304,1
59500,30.4786,1
59600,33.7157,1
59700,25.2735,1
59800,22.7674,1
59900,25.556,1
60000,24.292,1
60100,26.8723,1
60200,25.2521,1
60300,26.4058,1
60400,27.033,1
60500,23.7383,1
60600,23.768,1
60700,24.7061,1
60800,25.2182,1
60900,27.1771,1
61000,26.0912,1
61100,22.0551,1
61200,26.5944,1
61300,25.6689,1
61400,25.8253,1
61500,25.4742,1
61600,24.4487,1
61700,25.2425,1
61800,24.1246,1
61900,25.5057,1
62000,24.5382,1
62100,25.4449,1
62200,24.6924,1
62300,24.8224,1
62400,25.6395,1
